ref,fundam_legal,beneficio,item,codigo_ncm,descr_produto,proporcao
Alíquota 0% - Medicamentos - art 146,GERAL,Alíquota 0%,1,30049026,"Medicamentos registrados na Anvisa, desde que destinados, de acordo com o registro sanitário, a: doenças raras; doenças negligenciadas; oncologia; diabetes; HIV/aids e outras infecções sexualmente transmissíveis (IST); doenças cardiovasculares e Programa Farmácia Popular do Brasil ou equivalente ou adquiridos por órgãos da administração pública direta, por autarquias e por fundações públicas; adquiridos por entidades de saúde imunes ao IBS e à CBS que possuam Cebas por comprovarem a prestação de serviços ao SUS, nos termos dos arts. 9º a 11 da Lei Complementar nº 187, de 16 de dezembro de 2021; ou      (Redação dada pela Lei Complementar nº 227, de 2026); classificados como soros ou vacinas, conforme regulamentação sanitária específica. ",0.3333333333333333
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,12,30049026,"Vacinas, soros e medicamentos, de uso veterinário, exceto de animais domésticos",0.3333333333333333
"Alíquota reduzida 60%  -Medicam Registr na Anvisa, exc aliq 0 - Art 133",GERAL,Redução de 60%,1,30049026,medicamentos registrados na Anvisa ou produzidos por farmácias de manipulação,0.3333333333333333
Alíquota de Referência - Demais Produtos,GERAL,-,-,30049027,-,0
Alíquota 0% - Medicamentos - art 146,GERAL,Alíquota 0%,1,30049027,"Medicamentos registrados na Anvisa, desde que destinados, de acordo com o registro sanitário, a: doenças raras; doenças negligenciadas; oncologia; diabetes; HIV/aids e outras infecções sexualmente transmissíveis (IST); doenças cardiovasculares e Programa Farmácia Popular do Brasil ou equivalente ou adquiridos por órgãos da administração pública direta, por autarquias e por fundações públicas; adquiridos por entidades de saúde imunes ao IBS e à CBS que possuam Cebas por comprovarem a prestação de serviços ao SUS, nos termos dos arts. 9º a 11 da Lei Complementar nº 187, de 16 de dezembro de 2021; ou      (Redação dada pela Lei Complementar nº 227, de 2026); classificados como soros ou vacinas, conforme regulamentação sanitária específica. ",0.3333333333333333
"Alíquota reduzida 60%  -Medicam Registr na Anvisa, exc aliq 0 - Art 133",GERAL,Redução de 60%,1,30049027,medicamentos registrados na Anvisa ou produzidos por farmácias de manipulação,0.3333333333333333
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,12,30049027,"Vacinas, soros e medicamentos, de uso veterinário, exceto de animais domésticos",0.3333333333333333
Alíquota de Referência - Demais Produtos,GERAL,-,-,30049028,-,0
Alíquota 0% - Medicamentos - art 146,GERAL,Alíquota 0%,1,30049028,"Medicamentos registrados na Anvisa, desde que destinados, de acordo com o registro sanitário, a: doenças raras; doenças negligenciadas; oncologia; diabetes; HIV/aids e outras infecções sexualmente transmissíveis (IST); doenças cardiovasculares e Programa Farmácia Popular do Brasil ou equivalente ou adquiridos por órgãos da administração pública direta, por autarquias e por fundações públicas; adquiridos por entidades de saúde imunes ao IBS e à CBS que possuam Cebas por comprovarem a prestação de serviços ao SUS, nos termos dos arts. 9º a 11 da Lei Complementar nº 187, de 16 de dezembro de 2021; ou      (Redação dada pela Lei Complementar nº 227, de 2026); classificados como soros ou vacinas, conforme regulamentação sanitária específica. ",0.3333333333333333
Alíquota reduzida 60%  -Insumos agropecuários - Anexo IX - art 138,GERAL,Redução de 60%,12,30049028,"Vacinas, soros e medicamentos, de uso veterinário, exceto de animais domésticos",0.3333333333333333
"Alíquota reduzida 60%  -Medicam Registr na Anvisa, exc aliq 0 - Art 133",GERAL,Redução de 60%,1,30049028,medicamentos registrados na Anvisa ou produzidos por farmácias de manipulação,0.3333333333333333
Alíquota de Referência - Demais Produtos,GERAL,-,-,30049029,-,0
Alíquota 0% - Medicamentos - art 146,GERAL,Alíquota 0%,1,30049029,"Medicamentos registrados na Anvisa, desde que destinados, de acordo com o registro sanitário, a: doenças raras; doenças negligenciadas; oncologia; diabetes; HIV/aids e outras infecções sexualmente transmissíveis (IST); doenças cardiovasculares e Programa Farmácia Popular do Brasil ou equivalente ou adquiridos por órgãos da administração pública direta, por autarquias e por fundações públicas; adquiridos por entidades de saúde imunes ao IBS e à CBS que possuam Cebas por comprovarem a prestação de serviços ao SUS, nos termos dos arts. 9º a 11 da Lei Complementar nº 187, de 16 de dezembro de 2021; ou      (Redação dada pela Lei Complementar nº 227, de 2026); classificados como soros ou vacinas, conforme regulamentação sanitária específica. ",0.3333333333333333
